conversion_id,user_id,purchase_amount,conversion_time
1,1931,96.81,2025-06-25 22:33:00
2,17011,25.69,2025-07-16 12:34:00
3,15128,143.74,2025-06-22 13:35:00
4,47,50.29,2025-06-30 20:50:00
5,1490,22.08,2025-06-15 14:27:00
6,15104,75.58,2025-06-14 18:54:00
7,18151,72.54,2025-06-19 19:09:00
8,17382,31.8,2025-07-10 08:51:00
9,14771,73.41,2025-07-10 23:32:00
10,6691,49.01,2025-07-14 04:06:00
11,13266,146.93,2025-06-24 06:47:00
12,2199,50.5,2025-07-05 05:54:00
13,14186,146.27,2025-07-03 04:34:00
14,14646,108.93,2025-06-21 06:35:00
15,206,63.93,2025-07-10 21:00:00
16,12539,122.74,2025-07-05 23:27:00
17,4479,78.99,2025-07-08 17:57:00
18,17801,130.27,2025-07-04 18:18:00
19,17584,92.09,2025-06-17 06:10:00
20,3758,112.13,2025-06-13 23:14:00
21,18632,124.3,2025-06-27 16:53:00
22,1430,52.49,2025-06-26 04:23:00
23,10852,60.0,2025-07-07 05:40:00
24,9962,16.89,2025-07-03 08:03:00
25,9891,25.12,2025-06-26 22:51:00
26,13151,60.13,2025-07-02 11:41:00
27,14269,143.49,2025-06-29 19:59:00
28,11834,81.04,2025-07-01 08:09:00
29,10935,108.86,2025-07-16 09:16:00
30,11514,95.0,2025-06-26 10:03:00
31,1898,87.45,2025-06-19 11:25:00
32,18595,77.64,2025-06-25 08:30:00
33,15968,38.19,2025-07-10 17:13:00
34,12717,86.3,2025-06-27 06:09:00
35,17795,96.42,2025-06-18 12:10:00
36,10919,135.32,2025-07-12 15:24:00
37,829,61.18,2025-07-07 03:37:00
38,11705,61.89,2025-07-12 06:16:00
39,9097,130.56,2025-07-14 12:39:00
40,19697,10.95,2025-06-18 12:02:00
41,929,47.05,2025-07-15 07:03:00
42,17151,29.51,2025-07-10 14:17:00
43,18788,27.44,2025-06-18 08:00:00
44,5258,114.47,2025-06-29 01:26:00
45,17712,44.15,2025-06-24 22:26:00
46,1983,114.53,2025-06-18 12:13:00
47,16104,120.44,2025-06-16 22:46:00
48,91,74.98,2025-07-13 05:11:00
49,15925,66.49,2025-06-27 05:20:00
50,7782,115.33,2025-06-25 12:00:00
51,17867,108.88,2025-07-15 20:05:00
52,19733,17.81,2025-07-10 15:21:00
53,3880,125.46,2025-06-22 04:57:00
54,4688,144.74,2025-07-07 13:11:00
55,10671,144.95,2025-06-29 21:39:00
56,7984,130.28,2025-07-04 12:56:00
57,12857,24.28,2025-07-16 17:07:00
58,2670,89.64,2025-06-24 20:02:00
59,3126,84.8,2025-07-14 03:26:00
60,5778,17.62,2025-06-30 08:10:00
61,17405,134.05,2025-06-14 06:37:00
62,3263,149.29,2025-06-13 20:07:00
63,12321,67.98,2025-06-19 03:26:00
64,17882,71.13,2025-06-17 12:51:00
65,497,119.23,2025-06-15 23:25:00
66,4519,135.24,2025-06-21 00:37:00
67,18199,32.94,2025-06-15 22:07:00
