event_id,user_id,event_type,event_time
1,1,page_view,2025-06-06 14:34:00
2,2,product_view,2025-07-22 16:38:00
3,3,page_view,2025-06-04 09:57:00
4,4,signup,2025-07-08 18:45:00
5,5,page_view,2025-08-08 20:31:00
6,6,purchase,2025-07-17 02:07:00
7,7,product_view,2025-07-18 11:39:00
8,8,signup,2025-06-06 07:51:00
9,9,page_view,2025-06-22 00:49:00
10,10,product_view,2025-07-18 05:15:00
11,11,page_view,2025-07-09 15:55:00
12,12,purchase,2025-07-06 11:57:00
13,13,product_view,2025-06-22 11:48:00
14,14,page_view,2025-06-06 21:41:00
15,15,checkout,2025-07-03 22:27:00
16,16,product_view,2025-08-04 00:44:00
17,17,checkout,2025-06-22 13:53:00
18,18,product_view,2025-08-08 05:18:00
19,19,product_view,2025-07-12 10:00:00
20,20,checkout,2025-06-16 16:37:00
21,21,page_view,2025-06-16 21:04:00
22,22,product_view,2025-07-15 02:39:00
23,23,page_view,2025-06-07 10:06:00
24,24,product_view,2025-06-25 15:34:00
25,25,product_view,2025-07-20 12:47:00
26,26,product_view,2025-07-21 04:35:00
27,27,signup,2025-06-15 21:46:00
28,28,checkout,2025-06-22 01:04:00
29,29,checkout,2025-07-13 04:47:00
30,30,product_view,2025-07-22 01:13:00
31,31,signup,2025-07-30 08:00:00
32,32,signup,2025-06-27 19:45:00
33,33,checkout,2025-08-03 16:41:00
34,34,checkout,2025-07-04 12:20:00
35,35,page_view,2025-06-12 10:31:00
36,36,checkout,2025-06-25 14:33:00
37,37,purchase,2025-06-01 23:44:00
38,38,purchase,2025-07-11 17:32:00
39,39,signup,2025-07-03 03:43:00
40,40,purchase,2025-07-30 17:26:00
41,41,product_view,2025-06-17 14:20:00
42,42,signup,2025-07-10 19:30:00
43,43,signup,2025-07-26 19:31:00
44,44,checkout,2025-06-15 20:02:00
45,45,product_view,2025-06-19 18:27:00
46,46,checkout,2025-06-24 17:24:00
47,47,signup,2025-07-15 13:27:00
48,48,page_view,2025-06-28 20:20:00
49,49,signup,2025-06-12 17:18:00
50,50,product_view,2025-07-08 11:03:00
51,51,page_view,2025-07-27 21:18:00
52,52,signup,2025-06-13 05:29:00
53,53,page_view,2025-07-27 03:45:00
54,54,checkout,2025-06-04 02:54:00
55,55,purchase,2025-06-17 14:10:00
56,56,purchase,2025-07-16 16:19:00
57,57,page_view,2025-08-05 23:13:00
58,58,signup,2025-07-30 20:58:00
59,59,checkout,2025-06-27 15:58:00
60,60,page_view,2025-07-11 01:20:00
61,61,signup,2025-07-18 17:06:00
62,62,checkout,2025-06-22 16:37:00
63,63,signup,2025-07-30 03:06:00
64,64,checkout,2025-07-27 15:33:00
65,65,checkout,2025-07-30 13:48:00
66,66,product_view,2025-06-16 11:04:00
67,67,checkout,2025-06-15 06:31:00
68,68,product_view,2025-07-25 23:20:00
69,69,signup,2025-07-15 19:51:00
70,70,product_view,2025-07-04 02:01:00
71,71,checkout,2025-06-07 00:29:00
72,72,signup,2025-07-17 19:56:00
73,73,signup,2025-06-24 20:32:00
74,74,page_view,2025-07-10 10:22:00
75,75,purchase,2025-07-01 09:03:00
76,76,purchase,2025-08-06 06:39:00
77,77,checkout,2025-07-20 05:18:00
78,78,product_view,2025-06-05 22:03:00
79,79,page_view,2025-08-03 15:21:00
80,80,product_view,2025-07-27 21:49:00
81,81,page_view,2025-06-03 07:37:00
82,82,purchase,2025-07-12 22:25:00
83,83,product_view,2025-07-13 19:12:00
84,84,signup,2025-07-12 09:44:00
85,85,signup,2025-06-01 00:58:00
86,86,checkout,2025-08-08 22:05:00
87,87,purchase,2025-08-05 15:19:00
88,88,page_view,2025-06-04 10:36:00
89,89,page_view,2025-07-02 10:45:00
90,90,checkout,2025-07-18 08:03:00
91,91,purchase,2025-06-11 05:14:00
92,92,signup,2025-07-27 02:47:00
93,93,signup,2025-06-11 14:10:00
94,94,signup,2025-07-16 02:05:00
95,95,page_view,2025-07-10 20:03:00
96,96,signup,2025-07-11 13:06:00
97,97,signup,2025-07-04 05:03:00
98,98,checkout,2025-06-06 16:36:00
99,99,product_view,2025-08-06 02:18:00
100,100,checkout,2025-06-15 06:36:00
101,101,product_view,2025-06-04 19:49:00
102,102,checkout,2025-07-27 23:00:00
103,103,purchase,2025-07-20 02:43:00
104,104,checkout,2025-06-28 17:16:00
105,105,product_view,2025-06-07 10:48:00
106,106,product_view,2025-06-27 11:33:00
107,107,product_view,2025-07-19 21:05:00
108,108,purchase,2025-07-23 02:12:00
109,109,purchase,2025-08-03 05:08:00
110,110,signup,2025-07-02 06:07:00
111,111,checkout,2025-06-21 19:47:00
112,112,page_view,2025-06-18 01:16:00
113,113,checkout,2025-06-30 15:51:00
114,114,checkout,2025-06-30 14:30:00
115,115,checkout,2025-08-06 02:12:00
116,116,purchase,2025-06-03 16:15:00
117,117,purchase,2025-07-21 00:39:00
118,118,product_view,2025-07-04 10:51:00
119,119,product_view,2025-06-02 22:05:00
120,120,purchase,2025-08-04 14:44:00
121,121,page_view,2025-07-25 23:22:00
122,122,checkout,2025-06-19 21:04:00
123,123,product_view,2025-07-14 00:12:00
124,124,page_view,2025-07-29 12:16:00
125,125,checkout,2025-06-19 19:41:00
126,126,purchase,2025-07-05 02:22:00
127,127,product_view,2025-08-01 12:31:00
128,128,signup,2025-06-15 19:42:00
129,129,purchase,2025-08-02 04:35:00
130,130,checkout,2025-06-16 12:10:00
131,131,product_view,2025-07-27 14:46:00
132,132,purchase,2025-08-05 11:25:00
133,133,checkout,2025-07-06 01:07:00
134,134,page_view,2025-07-06 00:36:00
135,135,checkout,2025-08-07 21:45:00
136,136,page_view,2025-07-01 22:10:00
137,137,product_view,2025-06-23 18:11:00
138,138,checkout,2025-08-07 09:20:00
139,139,page_view,2025-07-16 01:56:00
140,140,page_view,2025-07-26 02:56:00
141,141,product_view,2025-08-07 05:44:00
142,142,signup,2025-06-24 22:18:00
143,143,checkout,2025-06-29 02:33:00
144,144,checkout,2025-07-27 02:42:00
145,145,purchase,2025-07-06 05:13:00
146,146,purchase,2025-07-24 06:23:00
147,147,signup,2025-07-07 04:28:00
148,148,purchase,2025-07-27 12:07:00
149,149,product_view,2025-07-31 08:22:00
150,150,page_view,2025-06-03 11:40:00
151,151,purchase,2025-07-13 04:33:00
152,152,product_view,2025-06-05 00:37:00
153,153,signup,2025-08-03 23:19:00
154,154,page_view,2025-07-27 00:29:00
155,155,product_view,2025-08-08 20:02:00
156,156,signup,2025-06-14 22:38:00
157,157,product_view,2025-07-02 01:24:00
158,158,product_view,2025-07-30 16:25:00
159,159,checkout,2025-07-14 14:13:00
160,160,page_view,2025-06-17 13:59:00
161,161,product_view,2025-06-14 02:52:00
162,162,purchase,2025-07-09 18:55:00
163,163,signup,2025-06-11 21:10:00
164,164,signup,2025-07-29 16:33:00
165,165,product_view,2025-06-12 21:45:00
166,166,product_view,2025-07-07 09:58:00
167,167,page_view,2025-06-26 05:43:00
168,168,product_view,2025-07-04 17:41:00
169,169,signup,2025-08-01 03:01:00
170,170,signup,2025-06-01 01:39:00
171,171,product_view,2025-07-13 18:35:00
172,172,signup,2025-07-07 09:39:00
173,173,product_view,2025-07-14 10:21:00
174,174,product_view,2025-07-19 02:49:00
175,175,checkout,2025-07-30 10:58:00
176,176,product_view,2025-07-29 21:23:00
