user_id,signup_date,country,device_type
1,2025-04-13,India,Web
2,2025-06-29,India,Web
3,2025-04-03,Germany,Web
4,2025-01-15,USA,iOS
5,2025-04-17,USA,Web
6,2025-03-13,Germany,iOS
7,2025-01-21,Germany,Android
8,2025-04-13,Germany,Web
9,2025-05-02,India,Android
10,2025-03-16,USA,Android
11,2025-03-29,Germany,Web
12,2025-04-27,Germany,Android
13,2025-04-10,USA,Web
14,2025-04-14,USA,Android
15,2025-06-01,India,iOS
16,2025-05-11,UK,iOS
17,2025-05-30,UK,iOS
18,2025-02-22,India,Web
19,2025-01-02,India,Android
20,2025-03-29,USA,iOS
21,2025-06-07,India,Web
22,2025-02-07,India,iOS
23,2025-05-10,Germany,iOS
24,2025-01-21,India,Web
25,2025-06-10,India,iOS
26,2025-02-27,Germany,Web
27,2025-01-22,USA,iOS
28,2025-03-30,USA,Web
29,2025-02-18,India,iOS
30,2025-02-28,India,Android
31,2025-06-19,UK,Android
32,2025-01-15,Germany,Web
33,2025-06-24,UK,Web
34,2025-02-20,India,Android
35,2025-04-18,UK,Web
36,2025-02-24,UK,iOS
37,2025-03-05,USA,iOS
38,2025-05-11,Germany,iOS
39,2025-02-20,USA,iOS
40,2025-05-15,USA,iOS
41,2025-01-21,UK,iOS
42,2025-03-14,Germany,iOS
43,2025-06-16,India,Web
44,2025-01-18,Germany,Android
45,2025-05-12,USA,iOS
46,2025-03-30,UK,iOS
47,2025-03-01,India,Web
48,2025-01-14,USA,Web
49,2025-01-09,UK,Android
50,2025-03-31,USA,Android
51,2025-02-22,UK,Web
52,2025-05-10,Germany,iOS
53,2025-03-25,USA,iOS
54,2025-04-02,Germany,iOS
55,2025-04-21,Germany,iOS
56,2025-06-21,UK,iOS
57,2025-01-08,India,Web
58,2025-06-24,Germany,Android
59,2025-02-04,USA,Android
60,2025-03-22,USA,Web
61,2025-06-13,UK,iOS
62,2025-02-19,Germany,Web
63,2025-04-14,India,Android
64,2025-05-12,India,Android
65,2025-01-02,USA,Android
66,2025-05-14,UK,Android
67,2025-02-23,Germany,Web
68,2025-04-16,USA,iOS
69,2025-01-04,UK,iOS
70,2025-02-23,India,Web
71,2025-05-26,USA,iOS
72,2025-02-13,UK,iOS
73,2025-06-11,India,iOS
74,2025-01-14,UK,iOS
75,2025-04-05,USA,Android
76,2025-02-17,Germany,iOS
77,2025-01-15,UK,Web
78,2025-02-09,Germany,Android
79,2025-03-23,USA,Android
80,2025-04-21,India,Web
81,2025-02-22,UK,iOS
82,2025-01-24,India,Android
83,2025-06-03,Germany,Web
84,2025-05-04,Germany,Web
85,2025-02-10,India,iOS
86,2025-06-06,USA,iOS
87,2025-01-15,Germany,Web
88,2025-02-14,USA,iOS
89,2025-03-06,India,Web
90,2025-03-30,USA,iOS
91,2025-03-12,Germany,iOS
92,2025-01-09,India,Web
93,2025-03-29,USA,Web
94,2025-05-09,USA,iOS
95,2025-05-16,UK,Web
96,2025-03-04,Germany,Android
97,2025-05-19,UK,iOS
98,2025-03-22,USA,Android
99,2025-05-16,Germany,Android
100,2025-06-12,India,Android
101,2025-06-12,India,Web
102,2025-02-02,India,iOS
103,2025-05-03,USA,iOS
104,2025-01-05,USA,Android
105,2025-02-10,India,Web
106,2025-01-28,UK,iOS
107,2025-05-15,UK,iOS
108,2025-03-13,Germany,iOS
109,2025-01-12,Germany,Android
110,2025-06-11,India,Android
111,2025-02-02,USA,Android
112,2025-02-17,USA,Android
113,2025-05-31,Germany,Android
114,2025-03-03,India,iOS
115,2025-02-06,Germany,Android
116,2025-04-09,UK,Web
117,2025-06-21,India,Android
118,2025-04-14,India,Android
119,2025-02-04,India,Android
120,2025-04-11,UK,iOS
121,2025-06-24,India,iOS
122,2025-05-11,Germany,Web
123,2025-01-01,UK,iOS
124,2025-01-05,USA,Android
125,2025-05-22,Germany,Web
126,2025-04-13,Germany,Web
127,2025-01-27,Germany,Web
128,2025-05-17,UK,Android
129,2025-01-15,Germany,iOS
130,2025-03-31,UK,iOS
131,2025-02-11,India,Android
132,2025-05-04,USA,iOS
133,2025-06-28,India,Android
134,2025-03-04,Germany,Android
135,2025-04-06,UK,Web
136,2025-02-21,UK,iOS
137,2025-04-06,India,Web
138,2025-05-12,Germany,iOS
139,2025-05-31,USA,Android
140,2025-05-23,UK,Web
141,2025-06-20,UK,Android
142,2025-01-29,Germany,Android
143,2025-02-05,UK,Web
144,2025-01-13,Germany,Web
145,2025-06-09,Germany,iOS
146,2025-03-12,USA,iOS
147,2025-03-27,Germany,Web
148,2025-01-28,India,iOS
149,2025-03-07,USA,Android
150,2025-06-19,Germany,Android
151,2025-02-14,Germany,Android
152,2025-03-03,USA,Android
153,2025-05-14,UK,Android
154,2025-01-28,USA,Android
155,2025-01-28,UK,iOS
156,2025-04-18,USA,Web
157,2025-02-13,USA,Web
158,2025-03-25,India,iOS
159,2025-01-30,USA,iOS
160,2025-03-16,India,iOS
161,2025-05-08,Germany,Web
162,2025-04-02,UK,iOS
163,2025-05-09,UK,iOS
164,2025-05-01,India,Web
165,2025-01-27,UK,iOS
166,2025-05-01,UK,Android
167,2025-04-26,USA,Web
168,2025-01-03,India,Web
169,2025-04-13,UK,Web
170,2025-06-04,Germany,iOS
171,2025-05-17,India,Web
172,2025-03-03,USA,Android
173,2025-06-14,Germany,Android
174,2025-02-20,UK,Web
175,2025-06-21,UK,Android
176,2025-06-01,India,iOS
177,2025-02-28,UK,Web
178,2025-04-28,India,Android
179,2025-06-09,UK,iOS
180,2025-04-06,Germany,Web
